,Unnamed: 0,Name,Team,Pos,Nationality,CTteam,Height,Weight,MinutesPlayedPG,ptsPG,rebPG,astPG,toPG,stlPG,blkPG,pfPG,TotalGames,TotalMinutesPlayed,2ptsPercentage,3ptsPercentage,ftPercentage,fgPercentage,2ptsM_PG,2ptsA_PG,3ptsM_PG,3ptsA_PG,ftM_PG,ftA_PG,fgM_PG,fgA_PG,Totalpts,TotalREB,TotalAst,TotalTO,TotalSTL,TotalBLK,TotalPF,EFF,eFG,TS,TOV,C,F,G
157,157,陳國維,臺灣銀行,F,1,0,190,100,13,4.3,2.4,0.6,0.7,0.3,0.1,1.6,196,2575,0.4107,0.2754,0.6016,0.3623,1.3,3.1,0.5,1.7,0.4,0.7,1.7,4.8,845,480,122,135,66,16,318,3.6,0.40625,0.420908379,0.120523416,0,1,0
158,158,尚韋帆,台灣啤酒,F,1,0,195,93,18,6.6,3.5,1,1.4,0.6,0.3,1.7,319,5856,0.478,0.2484,0.7174,0.4028,1.9,4.1,0.5,2,1.3,1.8,2.4,6,2112,1102,331,439,178,87,527,6.5,0.441666667,0.485865724,0.170898438,0,1,0
159,159,左從凱,台灣啤酒,F,1,0,186,83,18,8,1.6,0.8,1,0.7,0.1,1.3,222,4028,0.4408,0.3474,0.7057,0.4058,2,4.5,0.9,2.7,1.3,1.8,2.9,7.1,1773,345,183,220,162,20,282,5.5,0.471830986,0.506842372,0.112460639,0,1,0
160,160,陳子威,桃園璞園建築,C,1,0,200,103,16,7,2.5,0.5,0.9,0.4,0.2,1.6,370,5815,0.4438,0.3447,0.7649,0.3876,1.2,2.7,1.2,3.5,1.1,1.4,2.4,6.2,2608,928,184,326,138,87,586,5.6,0.483870968,0.513497653,0.116640747,1,0,0
161,161,陳京華,富邦勇士,G,1,0,190,85,9,2.2,1.5,0.2,0.8,0.3,0,1,29,269,0.3333,0.3704,0.3333,0.3472,0.5,1.6,0.3,0.9,0.1,0.3,0.9,2.5,63,43,6,22,10,1,29,1.6,0.42,0.417933131,0.233100233,0,0,1
162,162,魏維,富邦勇士,G,1,0,185,75,11,3.5,1.6,0.7,0.7,0.5,0,1.4,115,1221,0.4969,0.3385,0.6486,0.4096,0.7,1.4,0.6,1.7,0.4,0.6,1.3,3.1,404,181,76,83,55,3,156,3.6,0.516129032,0.520214031,0.172244094,0,0,1
163,163,柳昇耀,富邦勇士,F,1,0,190,86,19,7.6,2.1,0.9,1.1,0.6,0.1,1.5,311,5984,0.4696,0.3617,0.7668,0.4207,1.7,3.6,1.1,3,0.9,1.2,2.8,6.7,2372,652,282,344,190,18,470,6,0.5,0.52573326,0.132084534,0,1,0
164,164,賴柏霖,富邦勇士,G,1,0,179,83,11,2.3,1.3,0.9,0.6,0.4,0,1.1,121,1289,0.4286,0.2986,0.7937,0.3574,0.4,1,0.4,1.2,0.4,0.5,0.8,2.2,281,158,105,76,50,2,128,2.8,0.454545455,0.475206612,0.198675497,0,0,1
165,165,吳永仁,富邦勇士,G,1,1,176,74,25,8.2,3.3,3.2,1.9,1.1,0.1,2.3,376,9439,0.4885,0.3879,0.7438,0.4403,1.7,3.5,1.2,3.2,1.1,1.5,2.9,6.7,3097,1228,1213,731,411,51,858,9.8,0.52238806,0.557065217,0.205183585,0,0,1
166,166,周儀翔,臺北達欣工程,G,1,1,190,90,32,15.4,4.8,2.9,2.5,1.2,0.2,1.7,89,2805,0.4303,0.3065,0.7032,0.3909,4,9.3,1.3,4.3,3.5,4.9,5.3,13.6,1372,430,257,223,110,17,154,12.3,0.4375,0.488702716,0.13694128,0,0,1
167,167,劉元凱,臺北達欣工程,C,1,0,205,105,4,1.1,0.9,0,0.4,0.1,0,1.1,38,171,0.3409,0,0.7333,0.3409,0.4,1.2,0,0,0.3,0.4,0.4,1.2,41,36,1,17,5,0,42,0.8,0.333333333,0.399709302,0.225225225,1,0,0
168,168,萬代奇,臺灣銀行,G,1,0,183,83,12,2.5,1.5,1.2,0.8,0.8,0,2.1,11,130,0.3125,0.5,0.75,0.375,0.5,1.5,0.4,0.7,0.5,0.7,0.8,2.2,28,16,13,9,9,0,23,3.6,0.454545455,0.498405104,0.241837969,0,0,1
169,169,林界廷,臺灣銀行,G,1,0,192,85,2,0.4,0.5,0.1,0.3,0,0,0.8,10,22,0.4,0,0,0.4,0.2,0.5,0,0,0,0,0.2,0.5,4,5,1,3,0,0,8,0.4,0.4,0.4,0.375,0,0,1
